Theme,Sub-Theme,Feature Name,URL,longitude,latitude
Place Of Assembly,Theatre Live,Hamer Hall,https://www.tripadvisor.com.au/Attraction_Review-g255100-d592672-Reviews-Melbourne_Town_Hall-Melbourne_Victoria.html,144.9679921,-37.8199901
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Birrarung Marr,https://www.tripadvisor.com.au/Attraction_Review-g255100-d7606125-Reviews-Birrarung_Marr-Melbourne_Victoria.html,144.9731467,-37.81806108
Leisure/Recreation,Indoor Recreation Facility,Artplay,https://www.tripadvisor.com.au/Attraction_Review-g255100-d7606125-Reviews-Birrarung_Marr-Melbourne_Victoria.html,144.9715426,-37.81841988
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Riverslide Skate Park,https://riverslide.ymca.org.au/,144.9729518,-37.82078871
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Alexandra Gardens,https://www.tripadvisor.com.au/Attraction_Review-g255100-d7606305-Reviews-Alexandra_Gardens-Melbourne_Victoria.html,144.9717961,-37.82060514
Transport,Railway Station,Parliament Railway Station,https://www.metrotrains.com.au/stations/parliament/,144.9730173,-37.81160618
Transport,Railway Station,Richmond Railway Station (Richmond) - Train stop,https://www.ptv.vic.gov.au/stop/1162/richmond-station/3/regional-train/#StopPage:::datetime=2022-10-23T02%3A04%3A58.640Z&directionId=-1&showAllDay=false&_auth=8f9d0ba003428578d3cc305b2a9673a401ed539e11353f1f62c5f825fb650e5a,144.9894008,-37.82389927
Transport,Railway Station,Jolimont-MCG Railway Station (East Melbourne) - Train stop,https://www.ptv.vic.gov.au/stop/1104/jolimont-mcg-station/0/train/#StopPage:::datetime=2022-10-23T02%3A05%3A21.770Z&directionId=-1&showAllDay=false&_auth=3822424a6a63a8d80fa203d823d2d053c56e6e798ffbd3fbd41ddaa2cbc4ff3b,144.983641,-37.81656518
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),North Melbourne Recreation Reserve,https://www.tripadvisor.com.au/Attraction_Review-g255100-d13807333-Reviews-North_Melbourne_Recreation_Reserve-Melbourne_Victoria.html,144.9414521,-37.79883453
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),J.J Holland Park,https://www.tripadvisor.com.au/Attraction_Review-g2700849-d14838218-Reviews-J_J_Holland_Park-Moonee_Valley_Greater_Melbourne_Victoria.html,144.9238371,-37.79823588
Transport,Railway Station,Macaulay Railway Station (North Melbourne) - Train stop,https://www.ptv.vic.gov.au/stop/1116/macaulay-station/0/train/#StopPage:::datetime=2022-10-23T02%3A05%3A55.240Z&directionId=-1&showAllDay=false&_auth=e3b624189abf9263236d783753a1fcc87710ec67c09fc3e04d38cb65a4586faa,144.9361908,-37.794964
Transport,Railway Station,Kensington Railway Station,https://www.tripadvisor.com.au/Attraction_Review-g255100-d21021401-Reviews-Kensington_Railway_Station-Melbourne_Victoria.html,144.9307102,-37.79391401
Transport,Railway Station,South Kensington Railway Station,https://www.tripadvisor.com.au/Attraction_Review-g255100-d21021401-Reviews-Kensington_Railway_Station-Melbourne_Victoria.html,144.9258377,-37.79972705
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park,https://www.tripadvisor.com.au/Attraction_Review-g255100-d10498110-Reviews-Royal_Park-Melbourne_Victoria.html,144.9538342,-37.79061743
Health Services,Public Hospital,Royal Childrens Hospital,https://www.rch.org.au/home/,144.9500483,-37.79420608
Transport,Railway Station,Royal Park Railway Station,https://www.tripadvisor.com.au/Attraction_Review-g255100-d10498110-Reviews-Royal_Park-Melbourne_Victoria.html,144.9516678,-37.78126843
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Princes Park,https://www.tripadvisor.com.au/Attraction_Review-g255100-d8004908-Reviews-Princes_Park-Melbourne_Victoria.html,144.9611152,-37.78701617
Place Of Assembly,Art Gallery/Museum,National Sports Museum,https://www.tripadvisor.com.au/Attraction_Review-g255100-d2266013-Reviews-Australian_Sports_Museum-Melbourne_Victoria.html,144.9846698,-37.81895449
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Shrine of Rembrance Reserve,https://www.tripadvisor.com.au/Attraction_Review-g255100-d522360-Reviews-Shrine_of_Remembrance-Melbourne_Victoria.html,144.9736284,-37.8320734
Community Use,Public Buildings,Shrine of Remembrance,https://www.tripadvisor.com.au/Attraction_Review-g255100-d522360-Reviews-Shrine_of_Remembrance-Melbourne_Victoria.html,144.9734419,-37.830208
Residential Accommodation,Dwelling (House),Government House,https://www.tripadvisor.com.au/Attraction_Review-g255100-d7620343-Reviews-Government_House-Melbourne_Victoria.html,144.9766551,-37.82756359
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,https://www.tripadvisor.com.au/Attraction_Review-g255100-d256846-Reviews-Royal_Botanic_Gardens_Victoria-Melbourne_Victoria.html,144.9808504,-37.83066316
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park,https://www.tripadvisor.com.au/Attraction_Review-g255100-d11959767-Reviews-Yarra_Park-Melbourne_Victoria.html,144.9866711,-37.82046937
